,year_week,user_id,time,freq,time_period
1490,2012-35,1811,16.09,4,After Noon
1506,2012-35,2787,8.45,3,Morning
1516,2012-35,3411,3.41,3,Early Morning
1532,2012-35,4022,18.11,3,Evening
1551,2012-35,5240,8.56,3,Morning
1557,2012-35,5609,17.42,3,After Noon
1559,2012-35,5705,0.35,3,Mid Night
1562,2012-35,5939,12.38,3,Mid Noon
1563,2012-35,6050,10.06,3,Late Morning
1570,2012-35,6370,20.19,4,Evening
1573,2012-35,6978,15.25,3,After Noon
1574,2012-35,7023,8.42,3,Morning
1577,2012-35,7173,14.05,3,Mid Noon
1579,2012-35,7210,19.17,3,Evening
1586,2012-35,7590,0.51,3,Mid Night
1590,2012-35,7792,21.53,3,Night
1594,2012-35,8029,16.15,4,After Noon
1595,2012-35,8034,12.08,4,Mid Noon
1596,2012-35,8068,20.02,6,Evening
1597,2012-35,8259,15.04,3,After Noon
1599,2012-35,8426,22.31,6,Night
1616,2012-35,9402,13.23,4,Mid Noon
1618,2012-35,9510,6.2,3,Morning
1620,2012-35,9571,10.29,3,Late Morning
1658,2012-36,906,22.49,4,Night
1669,2012-36,1525,23.1,3,Night
1673,2012-36,1811,16.09,5,After Noon
1686,2012-36,2744,3.21,4,Early Morning
1691,2012-36,3067,12.23,3,Mid Noon
1699,2012-36,3623,14.34,4,Mid Noon
1709,2012-36,4022,18.11,5,Evening
1714,2012-36,4269,22.36,6,Night
1720,2012-36,4612,15.4,3,After Noon
1725,2012-36,5057,10.05,3,Late Morning
1726,2012-36,5101,18.36,3,Evening
1730,2012-36,5240,8.56,3,Morning
1732,2012-36,5297,17.32,3,After Noon
1733,2012-36,5378,23.28,4,Night
1737,2012-36,5609,17.42,4,After Noon
1739,2012-36,5705,0.35,3,Mid Night
1744,2012-36,5939,12.38,3,Mid Noon
1745,2012-36,6050,10.06,3,Late Morning
1751,2012-36,6312,19.47,3,Evening
1755,2012-36,6506,10.54,4,Late Morning
1760,2012-36,6978,15.25,4,After Noon
1765,2012-36,7210,19.17,3,Evening
1767,2012-36,7351,12.46,5,Mid Noon
1774,2012-36,7590,0.51,3,Mid Night
1782,2012-36,8029,16.15,3,After Noon
1783,2012-36,8034,12.08,3,Mid Noon
1785,2012-36,8068,20.02,5,Evening
1787,2012-36,8259,15.04,5,After Noon
1792,2012-36,8553,9.28,3,Late Morning
1802,2012-36,9286,8.0,3,Morning
1804,2012-36,9402,13.23,3,Mid Noon
1806,2012-36,9532,11.09,3,Late Morning
1841,2012-37,69,10.15,5,Late Morning
1846,2012-37,510,10.27,5,Late Morning
1847,2012-37,603,6.03,3,Morning
1851,2012-37,906,22.49,7,Night
1856,2012-37,1280,2.51,5,Mid Night
1860,2012-37,1525,23.1,3,Night
1878,2012-37,2474,23.14,4,Night
1887,2012-37,2787,8.45,3,Morning
1903,2012-37,3642,21.59,3,Night
1914,2012-37,4243,10.4,3,Late Morning
1915,2012-37,4269,22.36,3,Night
1924,2012-37,4742,16.5,3,After Noon
1929,2012-37,4839,19.08,3,Evening
1930,2012-37,4924,10.28,4,Late Morning
1936,2012-37,5240,8.56,3,Morning
1939,2012-37,5297,17.32,3,After Noon
1963,2012-37,6312,19.47,3,Evening
1970,2012-37,6851,20.52,4,Evening
1972,2012-37,6978,15.25,4,After Noon
1976,2012-37,7205,1.57,3,Mid Night
1985,2012-37,7572,20.4,3,Evening
1986,2012-37,7590,0.51,3,Mid Night
1989,2012-37,7792,21.53,3,Night
1991,2012-37,7920,11.02,4,Late Morning
1992,2012-37,8029,16.15,6,After Noon
1995,2012-37,8068,20.02,4,Evening
1996,2012-37,8280,13.39,4,Mid Noon
1997,2012-37,8399,23.31,3,Night
2001,2012-37,8553,9.28,3,Late Morning
2008,2012-37,9060,7.01,4,Morning
2011,2012-37,9281,6.46,4,Morning
2016,2012-37,9402,13.23,3,Mid Noon
2018,2012-37,9532,11.09,3,Late Morning
2044,2012-37,11015,17.57,3,After Noon
2045,2012-37,11083,17.26,3,After Noon
2046,2012-37,11144,10.13,3,Late Morning
2052,2012-37,11450,12.59,3,Mid Noon
2059,2012-38,69,10.15,3,Late Morning
2066,2012-38,510,10.27,4,Late Morning
2067,2012-38,603,6.03,3,Morning
2068,2012-38,906,22.49,4,Night
2080,2012-38,1339,19.56,3,Evening
2087,2012-38,1693,21.58,3,Night
2090,2012-38,1811,16.09,4,After Noon
2100,2012-38,2316,16.02,5,After Noon
2101,2012-38,2474,23.14,3,Night
2107,2012-38,2744,3.21,3,Early Morning
2117,2012-38,3269,1.03,6,Mid Night
2126,2012-38,3623,14.34,3,Mid Noon
2133,2012-38,4019,8.28,3,Morning
2136,2012-38,4243,10.4,3,Late Morning
2150,2012-38,4924,10.28,3,Late Morning
2164,2012-38,5386,8.02,4,Morning
2173,2012-38,5721,6.52,3,Morning
2177,2012-38,6050,10.06,5,Late Morning
2182,2012-38,6204,9.49,3,Late Morning
2183,2012-38,6258,12.43,3,Mid Noon
2195,2012-38,6978,15.25,5,After Noon
2197,2012-38,7120,11.44,3,Late Morning
2215,2012-38,8029,16.15,4,After Noon
2218,2012-38,8068,20.02,3,Evening
2221,2012-38,8280,13.39,3,Mid Noon
2233,2012-38,9083,7.55,3,Morning
2242,2012-38,9402,13.23,4,Mid Noon
2245,2012-38,9486,22.28,3,Night
2273,2012-38,10869,0.23,4,Mid Night
2276,2012-38,11083,17.26,5,After Noon
2294,2012-39,445,3.26,3,Early Morning
2298,2012-39,589,13.46,4,Mid Noon
2304,2012-39,1027,2.13,3,Mid Night
2307,2012-39,1155,22.34,3,Night
2317,2012-39,1709,20.11,3,Evening
2318,2012-39,1811,16.09,5,After Noon
2319,2012-39,1822,11.59,3,Late Morning
2323,2012-39,2042,0.11,3,Mid Night
2331,2012-39,2474,23.14,3,Night
2332,2012-39,2519,19.46,3,Evening
2345,2012-39,3071,8.56,3,Morning
2363,2012-39,4022,18.11,3,Evening
2367,2012-39,4186,10.51,3,Late Morning
2372,2012-39,4269,22.36,3,Night
2382,2012-39,4742,16.5,3,After Noon
2386,2012-39,4924,10.28,3,Late Morning
2391,2012-39,5057,10.05,4,Late Morning
2394,2012-39,5115,6.54,3,Morning
2400,2012-39,5297,17.32,5,After Noon
2405,2012-39,5516,21.1,3,Night
2407,2012-39,5600,20.53,3,Evening
2408,2012-39,5609,17.42,5,After Noon
2423,2012-39,6258,12.43,3,Mid Noon
2435,2012-39,6978,15.25,3,After Noon
2444,2012-39,7209,1.54,3,Mid Night
2448,2012-39,7351,12.46,3,Mid Noon
2451,2012-39,7536,11.39,3,Late Morning
2454,2012-39,7590,0.51,4,Mid Night
2465,2012-39,8029,16.15,4,After Noon
2468,2012-39,8068,20.02,5,Evening
2470,2012-39,8280,13.39,4,Mid Noon
2475,2012-39,8426,22.31,4,Night
2476,2012-39,8553,9.28,4,Late Morning
2484,2012-39,9060,7.01,3,Morning
2485,2012-39,9083,7.55,3,Morning
2486,2012-39,9281,6.46,3,Morning
2488,2012-39,9312,11.49,3,Late Morning
2491,2012-39,9402,13.23,4,Mid Noon
2494,2012-39,9532,11.09,4,Late Morning
2499,2012-39,10053,1.59,3,Mid Night
2508,2012-39,10763,23.0,4,Night
2510,2012-39,10869,0.23,4,Mid Night
2513,2012-39,11015,17.57,3,After Noon
2514,2012-39,11021,17.22,3,After Noon
2525,2012-39,11688,5.23,3,Early Morning
2529,2012-40,69,10.15,3,Late Morning
2531,2012-40,197,0.26,4,Mid Night
2538,2012-40,906,22.49,5,Night
2539,2012-40,912,19.15,5,Evening
2540,2012-40,1055,22.44,4,Night
2544,2012-40,1280,2.51,3,Mid Night
2552,2012-40,1693,21.58,3,Night
2555,2012-40,1822,11.59,3,Late Morning
2560,2012-40,2078,6.19,4,Morning
2563,2012-40,2447,11.4,3,Late Morning
2564,2012-40,2474,23.14,3,Night
2569,2012-40,2658,22.34,4,Night
2570,2012-40,2744,3.21,4,Early Morning
2571,2012-40,2771,17.23,4,After Noon
2577,2012-40,3067,12.23,3,Mid Noon
2581,2012-40,3139,17.13,3,After Noon
2591,2012-40,3623,14.34,6,Mid Noon
2600,2012-40,4019,8.28,3,Morning
2601,2012-40,4022,18.11,3,Evening
2607,2012-40,4243,10.4,4,Late Morning
2609,2012-40,4269,22.36,3,Night
2620,2012-40,4924,10.28,3,Late Morning
2623,2012-40,5057,10.05,3,Late Morning
2629,2012-40,5297,17.32,4,After Noon
2631,2012-40,5378,23.28,4,Night
2639,2012-40,5609,17.42,4,After Noon
2649,2012-40,5939,12.38,4,Mid Noon
2651,2012-40,6050,10.06,4,Late Morning
2657,2012-40,6258,12.43,4,Mid Noon
2658,2012-40,6312,19.47,3,Evening
2659,2012-40,6370,20.19,4,Evening
2664,2012-40,6637,17.32,3,After Noon
2671,2012-40,7023,8.42,3,Morning
2678,2012-40,7210,19.17,3,Evening
2684,2012-40,7590,0.51,4,Mid Night
2692,2012-40,7882,14.52,3,Mid Noon
2699,2012-40,8029,16.15,5,After Noon
2701,2012-40,8068,20.02,4,Evening
2720,2012-40,9312,11.49,3,Late Morning
2721,2012-40,9345,20.35,3,Evening
2722,2012-40,9402,13.23,4,Mid Noon
2727,2012-40,9532,11.09,4,Late Morning
2735,2012-40,10053,1.59,4,Mid Night
2744,2012-40,10763,23.0,4,Night
2748,2012-40,10869,0.23,4,Mid Night
2761,2012-40,11450,12.59,3,Mid Noon
2772,2012-41,553,18.16,3,Evening
2779,2012-41,828,19.55,3,Evening
2781,2012-41,906,22.49,4,Night
2782,2012-41,912,19.15,3,Evening
2784,2012-41,1055,22.44,3,Night
2798,2012-41,1811,16.09,4,After Noon
2799,2012-41,1822,11.59,5,Late Morning
2803,2012-41,2253,6.27,3,Morning
2805,2012-41,2316,16.02,3,After Noon
2808,2012-41,2474,23.14,5,Night
2812,2012-41,2610,23.29,3,Night
2814,2012-41,2744,3.21,4,Early Morning
2818,2012-41,2787,8.45,4,Morning
2820,2012-41,3066,9.11,3,Late Morning
2821,2012-41,3067,12.23,5,Mid Noon
2824,2012-41,3139,17.13,3,After Noon
2825,2012-41,3175,0.53,3,Mid Night
2826,2012-41,3226,4.55,3,Early Morning
2827,2012-41,3269,1.03,3,Mid Night
2830,2012-41,3411,3.41,4,Early Morning
2835,2012-41,3567,18.34,3,Evening
2836,2012-41,3623,14.34,6,Mid Noon
2837,2012-41,3641,9.21,3,Late Morning
2840,2012-41,3957,9.43,3,Late Morning
2841,2012-41,4019,8.28,4,Morning
2842,2012-41,4022,18.11,4,Evening
2854,2012-41,4612,15.4,3,After Noon
2856,2012-41,4742,16.5,3,After Noon
2858,2012-41,4835,3.07,3,Early Morning
2859,2012-41,4924,10.28,5,Late Morning
2860,2012-41,4934,3.08,3,Early Morning
2863,2012-41,5057,10.05,4,Late Morning
2867,2012-41,5240,8.56,5,Morning
2871,2012-41,5329,12.4,3,Mid Noon
2873,2012-41,5369,14.37,3,Mid Noon
2876,2012-41,5415,20.35,3,Evening
2882,2012-41,5600,20.53,4,Evening
2883,2012-41,5609,17.42,5,After Noon
2885,2012-41,5721,6.52,4,Morning
2889,2012-41,5939,12.38,3,Mid Noon
2891,2012-41,6050,10.06,3,Late Morning
2893,2012-41,6134,18.18,4,Evening
2899,2012-41,6312,19.47,4,Evening
2902,2012-41,6506,10.54,3,Late Morning
2905,2012-41,6653,7.5,3,Morning
2908,2012-41,6759,16.24,3,After Noon
2913,2012-41,6978,15.25,5,After Noon
2914,2012-41,7023,8.42,4,Morning
2916,2012-41,7120,11.44,4,Late Morning
2917,2012-41,7153,7.48,3,Morning
2918,2012-41,7173,14.05,3,Mid Noon
2922,2012-41,7210,19.17,4,Evening
2926,2012-41,7536,11.39,3,Late Morning
2929,2012-41,7590,0.51,5,Mid Night
2931,2012-41,7641,18.08,3,Evening
2936,2012-41,7991,10.28,3,Late Morning
2937,2012-41,8029,16.15,3,After Noon
2941,2012-41,8068,20.02,4,Evening
2945,2012-41,8280,13.39,4,Mid Noon
2949,2012-41,8553,9.28,3,Late Morning
2957,2012-41,9042,7.51,3,Morning
2958,2012-41,9060,7.01,3,Morning
2959,2012-41,9083,7.55,5,Morning
2964,2012-41,9281,6.46,3,Morning
2965,2012-41,9286,8.0,3,Morning
2966,2012-41,9312,11.49,4,Late Morning
2967,2012-41,9345,20.35,3,Evening
2969,2012-41,9402,13.23,4,Mid Noon
2970,2012-41,9434,4.17,3,Early Morning
2974,2012-41,9532,11.09,3,Late Morning
2976,2012-41,9601,2.4,5,Mid Night
2979,2012-41,9728,8.36,5,Morning
2990,2012-41,10599,14.11,3,Mid Noon
2994,2012-41,10734,15.39,5,After Noon
2996,2012-41,10791,5.48,3,Early Morning
2999,2012-41,10945,5.2,3,Early Morning
3000,2012-41,10953,12.15,3,Mid Noon
3001,2012-41,11015,17.57,4,After Noon
3005,2012-41,11186,14.3,3,Mid Noon
3009,2012-41,11450,12.59,3,Mid Noon
3012,2012-41,11688,5.23,3,Early Morning
3014,2012-42,69,10.15,3,Late Morning
3019,2012-42,445,3.26,3,Early Morning
3024,2012-42,728,16.04,3,After Noon
3029,2012-42,906,22.49,5,Night
3030,2012-42,912,19.15,5,Evening
3032,2012-42,1055,22.44,4,Night
3044,2012-42,1693,21.58,3,Night
3048,2012-42,1811,16.09,6,After Noon
3049,2012-42,1822,11.59,7,Late Morning
3056,2012-42,2316,16.02,3,After Noon
3060,2012-42,2474,23.14,6,Night
3063,2012-42,2519,19.46,3,Evening
3069,2012-42,2658,22.34,5,Night
3071,2012-42,2744,3.21,4,Early Morning
3072,2012-42,2771,17.23,3,After Noon
3073,2012-42,2787,8.45,3,Morning
3076,2012-42,3066,9.11,4,Late Morning
3078,2012-42,3071,8.56,5,Morning
3082,2012-42,3226,4.55,4,Early Morning
3084,2012-42,3269,1.03,5,Mid Night
3088,2012-42,3411,3.41,4,Early Morning
3093,2012-42,3560,14.23,3,Mid Noon
3096,2012-42,3623,14.34,7,Mid Noon
3108,2012-42,4186,10.51,3,Late Morning
3114,2012-42,4354,2.3,3,Mid Night
3122,2012-42,4742,16.5,3,After Noon
3127,2012-42,4924,10.28,5,Late Morning
3132,2012-42,5101,18.36,4,Evening
3133,2012-42,5115,6.54,3,Morning
3143,2012-42,5386,8.02,5,Morning
3144,2012-42,5415,20.35,4,Evening
3148,2012-42,5600,20.53,3,Evening
3149,2012-42,5609,17.42,4,After Noon
3152,2012-42,5682,10.22,3,Late Morning
3155,2012-42,5721,6.52,3,Morning
3161,2012-42,6171,2.05,3,Mid Night
3165,2012-42,6312,19.47,3,Evening
3166,2012-42,6370,20.19,3,Evening
3167,2012-42,6405,20.42,4,Evening
3169,2012-42,6506,10.54,3,Late Morning
3176,2012-42,6978,15.25,3,After Noon
3178,2012-42,7023,8.42,4,Morning
3181,2012-42,7107,1.51,3,Mid Night
3182,2012-42,7120,11.44,4,Late Morning
3184,2012-42,7153,7.48,3,Morning
3187,2012-42,7210,19.17,3,Evening
3192,2012-42,7536,11.39,3,Late Morning
3194,2012-42,7572,20.4,4,Evening
3206,2012-42,8029,16.15,5,After Noon
3208,2012-42,8068,20.02,5,Evening
3214,2012-42,8259,15.04,4,After Noon
3236,2012-42,9312,11.49,6,Late Morning
3238,2012-42,9402,13.23,4,Mid Noon
3240,2012-42,9434,4.17,3,Early Morning
3243,2012-42,9532,11.09,4,Late Morning
3245,2012-42,9601,2.4,3,Mid Night
3246,2012-42,9691,3.09,6,Early Morning
3248,2012-42,9724,2.55,3,Mid Night
3266,2012-42,10734,15.39,6,After Noon
3268,2012-42,10869,0.23,3,Mid Night
3270,2012-42,11015,17.57,4,After Noon
3272,2012-42,11083,17.26,3,After Noon
3274,2012-42,11186,14.3,3,Mid Noon
3278,2012-42,11450,12.59,3,Mid Noon
3287,2012-43,69,10.15,3,Late Morning
3289,2012-43,445,3.26,6,Early Morning
3300,2012-43,906,22.49,6,Night
3301,2012-43,912,19.15,5,Evening
3309,2012-43,1479,10.56,3,Late Morning
3310,2012-43,1525,23.1,3,Night
3315,2012-43,1811,16.09,6,After Noon
3316,2012-43,1822,11.59,3,Late Morning
3318,2012-43,1865,15.06,3,After Noon
3325,2012-43,2316,16.02,5,After Noon
3326,2012-43,2333,17.48,3,After Noon
3329,2012-43,2474,23.14,5,Night
3331,2012-43,2519,19.46,4,Evening
3332,2012-43,2539,19.26,3,Evening
3333,2012-43,2568,16.44,3,After Noon
3336,2012-43,2622,0.59,4,Mid Night
3337,2012-43,2658,22.34,3,Night
3339,2012-43,2744,3.21,3,Early Morning
3340,2012-43,2771,17.23,5,After Noon
3345,2012-43,3046,18.39,3,Evening
3349,2012-43,3139,17.13,5,After Noon
3352,2012-43,3226,4.55,3,Early Morning
3353,2012-43,3269,1.03,5,Mid Night
3356,2012-43,3411,3.41,4,Early Morning
3363,2012-43,3623,14.34,6,Mid Noon
3370,2012-43,3960,19.32,4,Evening
3372,2012-43,4019,8.28,6,Morning
3373,2012-43,4022,18.11,4,Evening
3379,2012-43,4234,2.23,4,Mid Night
3390,2012-43,4489,5.58,3,Early Morning
3401,2012-43,4835,3.07,4,Early Morning
3413,2012-43,5240,8.56,3,Morning
3416,2012-43,5297,17.32,4,After Noon
3419,2012-43,5415,20.35,4,Evening
3423,2012-43,5600,20.53,3,Evening
3424,2012-43,5609,17.42,4,After Noon
3425,2012-43,5682,10.22,4,Late Morning
3426,2012-43,5705,0.35,4,Mid Night
3427,2012-43,5721,6.52,4,Morning
3435,2012-43,6134,18.18,6,Evening
3444,2012-43,6312,19.47,6,Evening
3455,2012-43,6978,15.25,4,After Noon
3457,2012-43,7023,8.42,5,Morning
3459,2012-43,7107,1.51,4,Mid Night
3460,2012-43,7120,11.44,5,Late Morning
3462,2012-43,7153,7.48,4,Morning
3465,2012-43,7210,19.17,3,Evening
3468,2012-43,7375,0.41,4,Mid Night
3471,2012-43,7536,11.39,3,Late Morning
3474,2012-43,7572,20.4,3,Evening
3475,2012-43,7590,0.51,3,Mid Night
3477,2012-43,7641,18.08,3,Evening
3478,2012-43,7789,18.5,3,Evening
3482,2012-43,8029,16.15,5,After Noon
3484,2012-43,8068,20.02,4,Evening
3485,2012-43,8259,15.04,3,After Noon
3486,2012-43,8280,13.39,5,Mid Noon
3487,2012-43,8310,21.1,3,Night
3490,2012-43,8426,22.31,4,Night
3491,2012-43,8553,9.28,4,Late Morning
3493,2012-43,8677,23.07,3,Night
3497,2012-43,8768,2.0,5,Mid Night
3504,2012-43,9060,7.01,3,Morning
3510,2012-43,9281,6.46,6,Morning
3511,2012-43,9312,11.49,5,Late Morning
3513,2012-43,9402,13.23,4,Mid Noon
3514,2012-43,9434,4.17,4,Early Morning
3516,2012-43,9532,11.09,5,Late Morning
3519,2012-43,9691,3.09,3,Early Morning
3520,2012-43,9728,8.36,3,Morning
3531,2012-43,10599,14.11,5,Mid Noon
3536,2012-43,10734,15.39,4,After Noon
3544,2012-43,11015,17.57,3,After Noon
3554,2012-43,11300,13.59,3,Mid Noon
3557,2012-43,11450,12.59,3,Mid Noon
3567,2012-44,69,10.15,3,Late Morning
3571,2012-44,445,3.26,4,Early Morning
3574,2012-44,553,18.16,3,Evening
3575,2012-44,603,6.03,5,Morning
3578,2012-44,728,16.04,3,After Noon
3582,2012-44,906,22.49,4,Night
3583,2012-44,912,19.15,5,Evening
3585,2012-44,1055,22.44,4,Night
3590,2012-44,1280,2.51,3,Mid Night
3594,2012-44,1339,19.56,3,Evening
3603,2012-44,1693,21.58,4,Night
3607,2012-44,1811,16.09,4,After Noon
3608,2012-44,1822,11.59,6,Late Morning
3610,2012-44,2042,0.11,3,Mid Night
3611,2012-44,2078,6.19,3,Morning
3613,2012-44,2316,16.02,4,After Noon
3614,2012-44,2447,11.4,3,Late Morning
3615,2012-44,2474,23.14,3,Night
3623,2012-44,2658,22.34,3,Night
3624,2012-44,2744,3.21,5,Early Morning
3630,2012-44,3066,9.11,3,Late Morning
3637,2012-44,3226,4.55,3,Early Morning
3638,2012-44,3269,1.03,3,Mid Night
3642,2012-44,3623,14.34,7,Mid Noon
3644,2012-44,3642,21.59,5,Night
3647,2012-44,3819,5.56,4,Early Morning
3652,2012-44,4019,8.28,6,Morning
3653,2012-44,4022,18.11,3,Evening
3657,2012-44,4243,10.4,4,Late Morning
3658,2012-44,4263,22.07,3,Night
3660,2012-44,4282,18.33,3,Evening
3673,2012-44,4954,16.29,3,After Noon
3692,2012-44,5609,17.42,6,After Noon
3699,2012-44,6050,10.06,5,Late Morning
3710,2012-44,6312,19.47,3,Evening
3714,2012-44,6506,10.54,3,Late Morning
3716,2012-44,6637,17.32,3,After Noon
3721,2012-44,6851,20.52,3,Evening
3722,2012-44,6978,15.25,6,After Noon
3723,2012-44,7023,8.42,3,Morning
3725,2012-44,7107,1.51,4,Mid Night
3727,2012-44,7153,7.48,5,Morning
3729,2012-44,7210,19.17,5,Evening
3733,2012-44,7375,0.41,3,Mid Night
3734,2012-44,7511,5.28,3,Early Morning
3735,2012-44,7536,11.39,3,Late Morning
3739,2012-44,7590,0.51,4,Mid Night
3742,2012-44,7641,18.08,5,Evening
3750,2012-44,8068,20.02,5,Evening
3754,2012-44,8259,15.04,6,After Noon
3755,2012-44,8280,13.39,5,Mid Noon
3762,2012-44,8426,22.31,3,Night
3763,2012-44,8553,9.28,5,Late Morning
3770,2012-44,8768,2.0,6,Mid Night
3775,2012-44,9060,7.01,3,Morning
3780,2012-44,9281,6.46,7,Morning
3782,2012-44,9312,11.49,3,Late Morning
3783,2012-44,9345,20.35,5,Evening
3786,2012-44,9402,13.23,5,Mid Noon
3789,2012-44,9481,10.36,3,Late Morning
3792,2012-44,9532,11.09,3,Late Morning
3808,2012-44,10258,8.3,4,Morning
3819,2012-44,10734,15.39,5,After Noon
3825,2012-44,10953,12.15,4,Mid Noon
3832,2012-44,11267,5.58,3,Early Morning
3838,2012-44,11688,5.23,3,Early Morning
3841,2012-45,69,10.15,3,Late Morning
3842,2012-45,197,0.26,4,Mid Night
3845,2012-45,445,3.26,3,Early Morning
3850,2012-45,603,6.03,3,Morning
3854,2012-45,783,20.34,4,Evening
3856,2012-45,906,22.49,6,Night
3857,2012-45,912,19.15,3,Evening
3859,2012-45,1155,22.34,4,Night
3867,2012-45,1693,21.58,6,Night
3871,2012-45,1758,4.36,3,Early Morning
3872,2012-45,1811,16.09,6,After Noon
3873,2012-45,1822,11.59,4,Late Morning
3875,2012-45,1865,15.06,3,After Noon
3880,2012-45,2316,16.02,4,After Noon
3882,2012-45,2474,23.14,6,Night
3884,2012-45,2539,19.26,3,Evening
3890,2012-45,2744,3.21,6,Early Morning
3895,2012-45,3067,12.23,4,Mid Noon
3896,2012-45,3071,8.56,3,Morning
3899,2012-45,3139,17.13,4,After Noon
3901,2012-45,3175,0.53,5,Mid Night
3903,2012-45,3226,4.55,4,Early Morning
3904,2012-45,3269,1.03,4,Mid Night
3905,2012-45,3411,3.41,3,Early Morning
3908,2012-45,3556,21.49,3,Night
3910,2012-45,3623,14.34,7,Mid Noon
